Publish time,Page name,Permalink,Post type,Impressions,Reach,"Reactions, Comments and Shares",Reactions,Comments,Shares,Total clicks,Seconds viewed,Average Seconds viewed,REELS_PLAYS:COUNT
1/28/2024,Astrofluenced,https://www.facebook.com/astrofluenced/posts/pfbid02MRf8pebJEd4tSR6Nvs4KpxtrJngrJbS4enUxFHsAqTwe4FKqUo6hgNMoHVKDKChAl,Photos,422,402,19,10,1,8,21,,,
1/9/2024,Astrofluenced,https://www.facebook.com/astrofluenced/videos/902829804579855/,Videos,187,151,5,2,2,1,4,5243.426,28.652,
1/3/2024,Astrofluenced,https://www.facebook.com/astrofluenced/posts/pfbid0SZhDQBoX2Nq4gyBaFTmnkRUmeUm5YpbqPSunJf83jx85sLFGTKiv2ghbKNZyqtAel,Photos,142,126,12,9,1,2,3,,,
1/6/2024,Astrofluenced,https://www.facebook.com/reel/1070806324123857/,Videos,138,135,6,4,2,0,0,2147.252,15.447,180
1/7/2024,Astrofluenced,https://www.facebook.com/astrofluenced/videos/1295226441150336/,Videos,128,111,9,3,4,2,0,750,6.756,
1/4/2024,Astrofluenced,https://www.facebook.com/astrofluenced/posts/pfbid02DjkeqA1VhXbXPDvCYS7ADc59akivPR4pEiZeuu7D26ocGRqLeS7oBzmpCN33Ew9Gl,Photos,108,106,4,3,0,1,5,,,
1/14/2024,Astrofluenced,https://www.facebook.com/astrofluenced/posts/pfbid02T7aiGueSqWuEPTWYAeD9v9fmaYJQiNPS6HqbLaYFjd7pTHWNj8vSSir7tn4p8tCAl,Photos,95,88,12,11,0,1,1,,,
1/2/2024,Astrofluenced,https://www.facebook.com/astrofluenced/posts/pfbid0HrVF7QkzYm43Ra6nxxytyFoktyVYjLmVCttcxeMbHYubnejYrhTrUpydHmtz9prBl,Links,78,78,1,1,0,0,3,,,
1/30/2024,Astrofluenced,https://www.facebook.com/astrofluenced/videos/1117909579540676/,Videos,73,65,2,1,0,1,0,463.789,6.721,
3/22/2024,Astrofluenced,https://www.facebook.com/astrofluenced/posts/pfbid0sXVVoigeafjm8HT7G613Np6bBJdvWwfSWnuCrjdPCSM9vfRMkyo2mZFyPHrZidCxl,Photos,72,67,2,1,0,1,1,,,
1/2/2024,Astrofluenced,https://www.facebook.com/astrofluenced/posts/pfbid035tM34os8y9pniwDCC88nK7QiN1zkJEPNfwqXcXiEqarawJ1eEPNZFq55SfkorHBil,Photos,71,71,1,1,0,0,0,,,
1/2/2024,Astrofluenced,https://www.facebook.com/astrofluenced/posts/pfbid02u4VoKftomc1zcg26WdKmzr8V6LVS4ynYiLyf6iHEA1NriYU62qzgPSUV9btahR3yl,Photos,62,62,1,1,0,0,2,,,
1/3/2024,Astrofluenced,https://www.facebook.com/astrofluenced/videos/641652594647350/,Videos,46,41,3,1,0,2,1,1076.16,18.88,
1/16/2024,Astrofluenced,https://www.facebook.com/astrofluenced/videos/1439499487004112/,Videos,44,40,1,1,0,0,0,1081.848,26.386,
1/3/2024,Astrofluenced,https://www.facebook.com/astrofluenced/posts/pfbid02DVSu7qn7vUF81YDiB8X8wmCwNmUsGv2WL7EqA6iF8nRiGvPJz6TEV3Ye6RgPM9wFl,Photos,42,41,1,1,0,0,0,,,
1/6/2024,Astrofluenced,https://www.facebook.com/astrofluenced/videos/1987659901634744/,Videos,34,31,3,2,0,1,1,287.991,5.142,
3/23/2024,Astrofluenced,https://www.facebook.com/astrofluenced/posts/pfbid0bTPF1BfJne3kcJzbyxQy8Ko6L6hHHCMcHqRyVLQ8sMPrS7LiN3TQaBmoFpss7uc6l,Text,32,23,1,1,0,0,1,,,
1/3/2024,Astrofluenced,https://www.facebook.com/astrofluenced/posts/pfbid02eKbnjBq2Vd87fX7xQ2kKTeo81ioi15Pdmhq77gCr2613Es6u6rW2uPjmzqfkg6uhl,Photos,29,26,4,4,0,0,2,,,
3/22/2024,Astrofluenced,https://www.facebook.com/astrofluenced/posts/pfbid033bL2FCEk4Azf5XK88xFQTSnLvSmQu46MBxHbdo4TvrtbhfRQbQJ3ff5zpBvjBeDYl,Text,23,23,1,1,0,0,1,,,
3/23/2024,Astrofluenced,https://www.facebook.com/astrofluenced/posts/pfbid0EbLS6PZLcSbjsrTHB2nWe8sb1TByLZ6NqqitnQkCowgbhCCbcpb87mVbjK56Dww4l,Photos,21,13,0,0,0,0,0,,,
1/3/2024,Astrofluenced,https://www.facebook.com/astrofluenced/posts/pfbid02wZXbgpBWeR2xta2xej44TGne5Rm6zvxC5Cchz8warG3tHmaiS31vfXN1bGcd1z3rl,Photos,20,20,2,2,0,0,1,,,
1/29/2024,Astrofluenced,https://www.facebook.com/astrofluenced/posts/pfbid02GafGsBfBY9Prt1pZZ9pHRDpKtyb4DFsTVpiqpEnrz2fZ7cb1RzX2F65Jx8vABwVSl,Photos,17,14,1,1,0,0,3,,,
1/17/2024,Astrofluenced,https://www.facebook.com/astrofluenced/videos/820919686470190/,Videos,17,15,1,1,0,0,0,81.603,1.665,
3/22/2024,Astrofluenced,https://www.facebook.com/astrofluenced/posts/pfbid02x2wUmgcwfeZoBoVpn4sS2qPhkPLE84DcxBrVjBmMbymhx3JDu5RnBhvTNNMJAxjAl,Photos,16,15,2,2,0,0,0,,,
1/10/2024,Astrofluenced,https://www.facebook.com/reel/371727955462989/,Reels,16,13,0,0,0,0,0,74.436,4.962,20
1/6/2024,Astrofluenced,https://www.facebook.com/astrofluenced/videos/1516712242517769/,Videos,16,14,1,1,0,0,0,87.283,3.232,
2/20/2024,Astrofluenced,https://www.facebook.com/astrofluenced/posts/pfbid034DUcX3R3W7QDqaA6y76MhmcM13Ujy7Y51A4WhGodE5XkXh7bbj2JXPsfLuVMuoDol,Text,15,15,1,1,0,0,0,,,
1/19/2024,Astrofluenced,https://www.facebook.com/reel/393888536352876/,Reels,15,13,0,0,0,0,0,176.965,11.797,18
1/7/2024,Astrofluenced,https://www.facebook.com/astrofluenced/posts/pfbid0sQwSqZQAstuSyYJas8Jk2qXLbfFo9SgPp4788i2Pfvw9YwYb2aRLbbaih44qqbEWl,Photos,15,14,1,1,0,0,0,,,
2/21/2024,Astrofluenced,https://www.facebook.com/reel/927764755523634/,Reels,13,11,6,4,1,1,0,249.688,5.548,55
1/16/2024,Astrofluenced,https://www.facebook.com/astrofluenced/posts/pfbid07y2TSSHXXDPFPz5T5bdSy2BVY4b1qY4EuuyfV9mdBzJ8LpiX23KyQr8sZ1eDi9Nul,Text,13,11,1,1,0,0,0,,,
1/4/2024,Astrofluenced,https://www.facebook.com/astrofluenced/posts/pfbid0X4pFgmNem227KDxmJbW5XRi4PJh9hmjXNrm6bvK4BC7N2SXM6RBG4NKoCWMhY4n5l,Photos,13,12,1,1,0,0,0,,,
2/25/2024,Astrofluenced,https://www.facebook.com/astrofluenced/posts/pfbid0ENLfYGkA8tWRJB8d5AkwKR1ttXWWAsTSopSWTSNXAYNMDeHxpceYGY9eTjUmQAdAl,Text,12,11,1,1,0,0,1,,,
1/27/2024,Astrofluenced,https://www.facebook.com/astrofluenced/posts/pfbid0tMsYPW2orJ39VtoKtVQuj6Piofv94P38SUWLwA5qA1ypZJwzropo5sR8oawjKsTPl,Photos,12,11,1,1,0,0,0,,,
1/11/2024,Astrofluenced,https://www.facebook.com/astrofluenced/posts/pfbid0ujABjscHgnqRh8kyWKZZyrtW8hta47kFDB97frnKnReZKQHgC7KW9eEa6zZBehcXl,Photos,12,12,1,1,0,0,0,,,
1/3/2024,Astrofluenced,https://www.facebook.com/astrofluenced/posts/pfbid02ZjM3T5nV8PHYoqKwSPwSFnWbi2B25pSAy26xXChGf3TyaiwkyBv54f5V5MN8JUEQl,Links,12,12,1,1,0,0,2,,,
1/6/2024,Astrofluenced,https://www.facebook.com/astrofluenced/posts/pfbid02zEwArSouZBxThNHoxmfW17vxVdVpnC2w6X71odDcrH2DnvboL96BJMxQ5F42QVRRl,Photos,12,12,2,2,0,0,0,,,
3/21/2024,Astrofluenced,https://www.facebook.com/astrofluenced/posts/pfbid041TznRqG63AJpfLdJu2D85cS3c1sD4EzrAJaTMPX6ufj55Ho17emFznGc9QSPfXFl,Text,11,10,1,1,0,0,0,,,
2/27/2024,Astrofluenced,https://www.facebook.com/astrofluenced/posts/pfbid0dRavFr8dPVKJaFeBYCmuqP9QLFFV4kXja7JX1gfWzHsHxMrbf4r6J4GFGrCvXdJl,Photos,11,11,0,0,0,0,0,,,
2/23/2024,Astrofluenced,https://www.facebook.com/astrofluenced/posts/pfbid02VPcmXAm55UvQbkpDxP9zRmJCvbApTTo8y2PrhwyqoMxKZ5DSAqsVhEDTbE1bm5Khl,Text,11,11,1,1,0,0,0,,,
2/10/2024,Astrofluenced,https://www.facebook.com/astrofluenced/posts/pfbid02VNxmDxERWHS5YRZYZMr2wegQGGTsMaWjK5aHQ7DC8xVfhEEFLS5bBKtdrKSDMR8rl,Text,11,11,1,1,0,0,0,,,
1/19/2024,Astrofluenced,https://www.facebook.com/astrofluenced/posts/pfbid02DsQ54aUpXPcKTzm8TQYL94zsWDpU5E7rXrL9BiT9uLccKGQpnb1zbNVNJn8Tv3unl,Photos,11,11,0,0,0,0,0,,,
1/16/2024,Astrofluenced,https://www.facebook.com/astrofluenced/posts/pfbid02XcV5o5i2iEc9MBRarqaSGkSuD7j8guWDwQwUZfTxyFguVjbjy3cmp1H98SLAUwdXl,Text,11,10,1,1,0,0,0,,,
1/5/2024,Astrofluenced,https://www.facebook.com/astrofluenced/posts/pfbid0KTKKvuvXWB4cX3ftmP3wZZwM8BCgGoybbnKzM7F857XqGjd9aFUwVFNNVVjZSR9kl,Photos,11,11,1,1,0,0,0,,,
