Publish time,Account name,Permalink,Post type,Impressions,Reach,Likes,Shares,Comments,Saves,Plays,Follows
2/3/2024,Android Astrologer,https://www.instagram.com/reel/C25SemygjaT/,IG reel,451,451,9,2,0,0,509,
2/17/2024,Android Astrologer,https://www.instagram.com/reel/C3dXpHlAp6S/,IG reel,322,309,14,3,1,1,368,1
1/29/2024,Android Astrologer,https://www.instagram.com/reel/C2tY7rPsRnF/,IG reel,278,272,2,1,1,2,215,1
1/6/2024,Android Astrologer,https://www.instagram.com/reel/C1xSTpcAKI_/,IG reel,209,200,8,2,4,0,275,1
2/20/2024,Android Astrologer,https://www.instagram.com/reel/C3ld7DfMdLR/,IG reel,174,170,10,0,1,0,371,
1/4/2024,Android Astrologer,https://www.instagram.com/p/C1rzldDMMC1/,IG image,142,142,2,1,0,0,,
1/6/2024,Android Astrologer,https://www.instagram.com/reel/C1xU_o-AX9E/,IG reel,125,123,2,0,0,1,159,
1/10/2024,Android Astrologer,https://www.instagram.com/reel/C17vOm1gPqz/,IG reel,115,110,2,1,0,0,137,
1/7/2024,Android Astrologer,https://www.instagram.com/reel/C1yrRicNnhR/,IG reel,101,97,1,1,0,0,112,
2/24/2024,Android Astrologer,https://www.instagram.com/reel/C3vydSGA3hi/,IG reel,84,77,3,1,0,1,93,
2/17/2024,Android Astrologer,https://www.instagram.com/reel/C3dQwOrMPNR/,IG reel,80,73,2,1,0,0,93,
1/7/2024,Android Astrologer,https://www.instagram.com/reel/C1zT1DOtcJ1/,IG reel,73,71,2,1,0,0,83,
1/7/2024,Android Astrologer,https://www.instagram.com/p/C1zSBURskIS/,IG image,63,58,1,0,2,0,,
2/25/2024,Android Astrologer,https://www.instagram.com/reel/C3yO-atAFmg/,IG reel,61,52,3,1,0,0,63,
2/12/2024,Android Astrologer,https://www.instagram.com/reel/C3QJCZzM-OZ/,IG reel,60,57,3,1,0,1,67,
1/13/2024,Android Astrologer,https://www.instagram.com/p/C2CjOyZsrlm/,IG image,55,53,2,0,2,0,,
2/24/2024,Android Astrologer,https://www.instagram.com/reel/C3vrukeAFi8/,IG reel,52,48,2,1,0,0,62,
1/6/2024,Android Astrologer,https://www.instagram.com/p/C1wtPALOcVc/,IG image,52,50,2,0,3,0,,
1/19/2024,Android Astrologer,https://www.instagram.com/reel/C2S38STgWop/,IG reel,51,42,2,1,0,0,61,
1/2/2024,Android Astrologer,https://www.instagram.com/p/C1mavaJsp1x/,IG image,50,48,3,0,3,0,,
2/8/2024,Android Astrologer,https://www.instagram.com/reel/C3Gn6K6sFzm/,IG reel,50,45,3,1,0,0,59,
2/12/2024,Android Astrologer,https://www.instagram.com/reel/C3QH1WvMoD5/,IG reel,48,46,2,1,0,0,54,
2/21/2024,Android Astrologer,https://www.instagram.com/reel/C3nD0OjMx1H/,IG reel,47,45,3,1,0,0,51,
1/15/2024,Android Astrologer,https://www.instagram.com/p/C2IRX_WObJe/,IG image,44,43,4,0,2,0,,
1/27/2024,Android Astrologer,https://www.instagram.com/p/C2mmW6yMTMg/,IG image,43,41,2,0,2,0,,
1/25/2024,Android Astrologer,https://www.instagram.com/p/C2hcxQHM5Z2/,IG image,43,41,2,0,2,0,,
1/23/2024,Android Astrologer,https://www.instagram.com/p/C2cTLfVOexL/,IG image,43,40,3,0,4,0,,
1/21/2024,Android Astrologer,https://www.instagram.com/p/C2XJlwnuzgA/,IG image,42,40,1,0,2,0,,
1/19/2024,Android Astrologer,https://www.instagram.com/p/C2R__9TswX6/,IG image,42,39,3,0,2,0,,
1/12/2024,Android Astrologer,https://www.instagram.com/p/C1_-b0VOQ6R/,IG image,41,38,1,0,2,0,,
1/17/2024,Android Astrologer,https://www.instagram.com/reel/C2NCmPsilal/,IG reel,40,31,3,1,0,1,46,
1/28/2024,Android Astrologer,https://www.instagram.com/p/C2pLJtZMFNn/,IG image,39,37,1,0,2,1,,
3/8/2024,Android Astrologer,https://www.instagram.com/reel/C4Qv5uHgU3M/,IG reel,38,33,3,1,0,0,41,
1/14/2024,Android Astrologer,https://www.instagram.com/p/C2FIBrYOhyV/,IG image,38,38,1,0,2,0,,
1/10/2024,Android Astrologer,https://www.instagram.com/p/C1602WZucAi/,IG image,38,34,1,1,2,0,,
1/3/2024,Android Astrologer,https://www.instagram.com/p/C1o-1-gMK_0/,IG image,37,34,2,0,2,0,,
1/16/2024,Android Astrologer,https://www.instagram.com/p/C2KRnZxMM_g/,IG image,36,36,1,0,2,0,,
1/4/2024,Android Astrologer,https://www.instagram.com/p/C1rjp5nsZl9/,IG image,36,34,3,0,2,0,,
1/5/2024,Android Astrologer,https://www.instagram.com/p/C1uIcFssiwv/,IG image,35,35,1,0,2,0,,
1/26/2024,Android Astrologer,https://www.instagram.com/p/C2kBkLrs2x7/,IG image,34,31,3,0,2,0,,
1/9/2024,Android Astrologer,https://www.instagram.com/p/C15WyUfrf71/,IG image,34,33,1,0,2,0,,
1/20/2024,Android Astrologer,https://www.instagram.com/p/C2UkzCcMYba/,IG image,33,27,0,0,2,0,,
1/18/2024,Android Astrologer,https://www.instagram.com/p/C2PbNYBMhIE/,IG image,32,31,2,0,2,0,,
1/9/2024,Android Astrologer,https://www.instagram.com/reel/C15mr9Ls6fx/,IG reel,32,32,3,0,1,0,38,
1/11/2024,Android Astrologer,https://www.instagram.com/p/C19ZpXOOA7B/,IG image,31,29,2,0,2,0,,
2/19/2024,Android Astrologer,https://www.instagram.com/reel/C3i5WylMXTa/,IG reel,19,17,2,1,0,0,25,
1/30/2024,Android Astrologer,https://www.instagram.com/p/C2uY-MGOqBn/,IG image,18,17,0,0,2,0,,
1/17/2024,Android Astrologer,https://www.instagram.com/p/C2Ne92FSPqQ/,IG image,18,18,1,0,1,0,,
1/9/2024,Android Astrologer,https://www.instagram.com/p/C14sCBEuNwk/,IG image,14,12,5,2,4,0,,
2/1/2024,Android Astrologer,https://www.instagram.com/reel/C2znGJHMcFE/,IG reel,13,10,1,0,0,0,23,
1/17/2024,Android Astrologer,https://www.instagram.com/reel/C2NSXkStjxC/,IG reel,13,11,0,0,0,0,15,
1/15/2024,Android Astrologer,https://www.instagram.com/reel/C2ISl2bAsDu/,IG reel,13,11,5,0,0,0,23,
1/19/2024,Android Astrologer,https://www.instagram.com/reel/C2S3j39gyGM/,IG reel,12,8,1,0,0,0,14,
3/6/2024,Android Astrologer,https://www.instagram.com/reel/C4Lr4xag_y4/,IG reel,11,11,3,0,0,0,13,
2/25/2024,Android Astrologer,https://www.instagram.com/reel/C3xwkFEAszI/,IG reel,11,8,1,0,0,0,14,
1/29/2024,Android Astrologer,https://www.instagram.com/p/C2rv-GVMAUg/,IG image,11,11,0,0,2,0,,
1/20/2024,Android Astrologer,https://www.instagram.com/p/C2VNP-_rDqk/,IG image,11,11,1,0,1,0,,
2/8/2024,Android Astrologer,https://www.instagram.com/p/C3G8RGKuvWB/,IG carousel,10,6,3,1,0,0,,
1/28/2024,Android Astrologer,https://www.instagram.com/p/C2peAPPrP1q/,IG carousel,10,9,1,0,1,0,,
1/16/2024,Android Astrologer,https://www.instagram.com/reel/C2K0Zu8i-eO/,IG reel,10,8,2,1,0,0,18,
1/6/2024,Android Astrologer,https://www.instagram.com/reel/C1yB53gqrvg/,IG reel,10,10,2,0,0,0,13,
3/23/2024,Android Astrologer,https://www.instagram.com/p/C42sCl0MUO0/,IG carousel,9,6,3,0,0,0,,
2/19/2024,Android Astrologer,https://www.instagram.com/p/C3h0rnrO8pY/,IG carousel,9,5,1,4,0,0,,
2/16/2024,Android Astrologer,https://www.instagram.com/reel/C3aeM-nsIHz/,IG reel,9,8,2,0,0,1,17,
1/19/2024,Android Astrologer,https://www.instagram.com/p/C2SofFyJUZi/,IG image,9,9,1,0,1,0,,
1/18/2024,Android Astrologer,https://www.instagram.com/p/C2QDtIOsLXj/,IG image,9,9,2,0,1,0,,
1/16/2024,Android Astrologer,https://www.instagram.com/p/C2K6KXULrNp/,IG image,9,8,1,0,1,0,,
3/4/2024,Android Astrologer,https://www.instagram.com/p/C4GHH5vO9o9/,IG image,8,7,2,0,0,0,,
2/23/2024,Android Astrologer,https://www.instagram.com/p/C3sa8SQpDsk/,IG carousel,8,7,2,0,0,0,,
2/1/2024,Android Astrologer,https://www.instagram.com/p/C2zuVKishxL/,IG carousel,8,6,2,0,0,0,,
2/1/2024,Android Astrologer,https://www.instagram.com/p/C2zl2_qsaoZ/,IG carousel,8,6,2,0,0,0,,
1/31/2024,Android Astrologer,https://www.instagram.com/p/C2xqDvqsp8r/,IG carousel,8,7,1,0,0,0,,
1/29/2024,Android Astrologer,https://www.instagram.com/p/C2sYZFvrwFX/,IG image,8,8,3,1,1,0,,
1/27/2024,Android Astrologer,https://www.instagram.com/p/C2nOznYrt6X/,IG image,8,8,1,0,1,0,,
1/12/2024,Android Astrologer,https://www.instagram.com/p/C2AnBd2y_wg/,IG image,8,8,3,0,1,0,,
1/4/2024,Android Astrologer,https://www.instagram.com/reel/C1sgdG0Ac3p/,IG reel,8,7,4,0,2,0,12,
3/22/2024,Android Astrologer,https://www.instagram.com/p/C41GoZuO1GC/,IG image,7,5,2,0,0,0,,
3/8/2024,Android Astrologer,https://www.instagram.com/p/C4RKXYWhxEk/,IG image,7,6,1,0,0,0,,
3/3/2024,Android Astrologer,https://www.instagram.com/p/C4DgYKYphsX/,IG carousel,7,6,3,0,0,0,,
2/27/2024,Android Astrologer,https://www.instagram.com/p/C32QXZxP1Z7/,IG carousel,7,4,2,0,0,0,,
2/16/2024,Android Astrologer,https://www.instagram.com/p/C3asCSGult3/,IG carousel,7,5,1,0,0,0,,
2/8/2024,Android Astrologer,https://www.instagram.com/p/C3HB9pDuu-H/,IG carousel,7,4,3,1,0,0,,
2/4/2024,Android Astrologer,https://www.instagram.com/p/C27eP2lsSoB/,IG carousel,7,5,3,2,0,0,,
2/2/2024,Android Astrologer,https://www.instagram.com/p/C22WQK0CYna/,IG carousel,7,5,4,0,0,0,,
1/28/2024,Android Astrologer,https://www.instagram.com/reel/C2ps9iigmQ2/,IG reel,7,6,2,0,0,0,10,
1/24/2024,Android Astrologer,https://www.instagram.com/p/C2fgdjNuqxo/,IG image,7,6,1,0,1,0,,
1/15/2024,Android Astrologer,https://www.instagram.com/p/C2IVVNUr7IN/,IG image,7,6,1,1,4,0,,
1/10/2024,Android Astrologer,https://www.instagram.com/p/C17daLTLDOp/,IG image,7,7,2,0,1,0,,
1/7/2024,Android Astrologer,https://www.instagram.com/p/C1ziauqpVNk/,IG image,7,6,2,0,1,0,,
1/6/2024,Android Astrologer,https://www.instagram.com/p/C1w9n1NOwu8/,IG image,7,7,0,0,1,0,,
1/5/2024,Android Astrologer,https://www.instagram.com/p/C1uY29SsnIJ/,IG image,7,7,1,0,1,0,,
2/8/2024,Android Astrologer,https://www.instagram.com/p/C3HCaaEuyjz/,IG carousel,6,4,3,0,0,0,,
3/22/2024,Android Astrologer,https://www.instagram.com/p/C40HP6ms2Rx/,IG carousel,6,4,2,0,0,0,,
3/6/2024,Android Astrologer,https://www.instagram.com/p/C4MAxnztog6/,IG image,6,6,2,0,0,0,,
3/3/2024,Android Astrologer,https://www.instagram.com/p/C4D7dFSsKBl/,IG image,6,6,2,0,0,0,,
3/2/2024,Android Astrologer,https://www.instagram.com/p/C4A6yYiJzur/,IG carousel,6,6,2,0,0,0,,
3/2/2024,Android Astrologer,https://www.instagram.com/p/C4AfNKDqElL/,IG carousel,6,5,2,0,0,0,,
