Publish time,Account name,Permalink,Post type,Date,Impressions,Reach,Likes,Shares,Replies,Navigation
1/4/2024,Android Astrologer,https://instagram.com/stories/astrofluenced/3273126781976052591,IG story,Lifetime,5,5,1,0,0,4
3/6/2024,Android Astrologer,,IG story,Lifetime,1,1,1,0,0,
3/6/2024,Android Astrologer,,IG story,Lifetime,3,3,0,0,0,
2/25/2024,Android Astrologer,,IG story,Lifetime,2,2,1,0,0,
2/25/2024,Android Astrologer,,IG story,Lifetime,3,3,0,0,0,
2/24/2024,Android Astrologer,,IG story,Lifetime,3,3,0,0,0,
2/20/2024,Android Astrologer,,IG story,Lifetime,2,2,3,0,0,
2/20/2024,Android Astrologer,,IG story,Lifetime,3,3,2,0,0,
2/20/2024,Android Astrologer,,IG story,Lifetime,2,2,0,0,0,
2/19/2024,Android Astrologer,,IG story,Lifetime,3,3,2,0,0,
2/19/2024,Android Astrologer,,IG story,Lifetime,3,3,0,0,0,
2/19/2024,Android Astrologer,,IG story,Lifetime,3,3,0,0,0,
2/19/2024,Android Astrologer,,IG story,Lifetime,3,3,0,0,0,
2/19/2024,Android Astrologer,,IG story,Lifetime,3,3,1,0,0,
2/19/2024,Android Astrologer,,IG story,Lifetime,3,3,2,0,0,
2/19/2024,Android Astrologer,,IG story,Lifetime,3,3,0,0,0,
2/19/2024,Android Astrologer,,IG story,Lifetime,3,3,1,0,0,
2/19/2024,Android Astrologer,,IG story,Lifetime,5,5,1,0,0,4
2/18/2024,Android Astrologer,,IG story,Lifetime,2,2,1,0,0,
2/17/2024,Android Astrologer,,IG story,Lifetime,2,2,1,0,0,
2/17/2024,Android Astrologer,,IG story,Lifetime,2,2,0,0,0,
2/17/2024,Android Astrologer,,IG story,Lifetime,3,3,0,0,0,
2/12/2024,Android Astrologer,,IG story,Lifetime,1,1,2,0,0,
2/12/2024,Android Astrologer,,IG story,Lifetime,2,2,0,0,0,
2/12/2024,Android Astrologer,,IG story,Lifetime,1,1,1,0,0,
2/12/2024,Android Astrologer,,IG story,Lifetime,1,1,0,0,0,
2/12/2024,Android Astrologer,,IG story,Lifetime,1,1,0,0,0,
2/12/2024,Android Astrologer,,IG story,Lifetime,1,1,0,0,0,
2/12/2024,Android Astrologer,,IG story,Lifetime,2,2,0,0,0,
