Publish time,Page name,Permalink,Post type,Impressions,Reach,"Reactions, Comments and Shares",Reactions,Comments,Shares,Total clicks,Matched Audience Targeting Consumption (Photo Click),Other Clicks,REELS_PLAYS:COUNT,Seconds viewed,Average Seconds viewed,Estimated earnings (USD),Ad impressions,Ad CPM (USD)
8/27/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid0pSc8Cz4ukec74hbGpUYh3Jt1gDDVPaDC3ZVLAQjWYD57zZR4m5p55BPxnQUrM4znl,Photos,57,51,3,0,2,1,0,,,,,,,,
8/27/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid0ozqFs9x6f7a2H2uSWzJPzwymvuNBRHnCCjigHTBWXqG6LDos5RNmnPACQjiV8cQJl,Photos,52,46,4,1,2,1,3,1,2,,,,,,
8/27/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid035zTmwPmco3F4gWwKczCN19exRuKBysk6WG2iQXK6KRpDT7GwRSPviRQQgi9LhGrEl,Photos,37,33,3,1,1,1,2,,2,,,,,,
8/31/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid0Uf2VhMK8Sf4kx4Jm54NdNkdU1KemxPBkUCSt18wPBJXDzkaJXFEuTMYBDiUPyxGzl,Photos,36,32,7,3,3,1,13,,13,,,,,,
8/28/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid0vHNkERchiNr2Qe4yz5p8xxG4dSf5yjS3sdRPsUtd68YADK9KnYEwitMzQH9R6ySHl,Photos,35,32,3,0,2,1,0,,,,,,,,
8/28/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid02VsFKNSi3xNkKWxV1KxoWdHmWM2b5V55JNkZELC3ZeH18rsSTQsGapMQQ1U9QbAFxl,Photos,35,32,10,5,3,2,3,,3,,,,,,
8/31/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid02deWB7sGoydSm9yEgb63ZVf8KC5vookTM8Cnu9wQn3Ho41J7gUagF9ZyXwbQfx6JNl,Photos,28,26,2,1,0,1,0,,,,,,,,
8/24/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid023sGsc1L12ZGeoMt7huT8wDCrTkBtZry4ibKyHRjvL5qD3LsaVSxmyL3htbTiaHWcl,Photos,28,28,6,3,3,0,9,,9,,,,,,
7/8/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid02UXP3Rwak2cBnvW59ehDM4VMJht1RSA833ho8p9bhPoHxJRR3FNAuFw7FJRb5TvEbl,Photos,27,22,5,2,3,0,2,1,1,,,,,,
8/30/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid02K8y6iQb8GQ6YkK6DnB3bvicHT8AWFfEXv2ezYvxQv7NezmDmXZNzC8W59s7p7vy1l,Photos,22,20,12,8,3,1,4,1,3,,,,,,
9/4/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid02qyPjXJ8RFAKUrV5Q7VKrJR6aiNEBFbSJ9r135SKo6j8ShcmvqFVsrvSgFTQPezkRl,Photos,21,21,7,5,1,1,0,,,,,,,,
8/24/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid0iDzeBmw6GsDMYoscupGNtwYixCMntNogN3eaawfUK9j66wkMNfqM5HY9jNkCqS5Jl,Photos,21,20,3,1,2,0,2,,2,,,,,,
8/24/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid02B6RTNcMvGYaL3dEhLp9MmEJ3Xs6HKGkuN28JoLayVYsKNvPotVpNVcVNMuyf328Ul,Photos,20,20,11,3,8,0,2,,2,,,,,,
8/30/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid02ZFAr82hjT6geCYAmeXdBQhwR6ZDNMQ99QQSmimG3Wc5x8J5Q52EdQwtMMNFuvbs7l,Links,19,18,2,1,0,1,0,,,,,,,,
7/7/2024,Style Spectrums,https://www.facebook.com/photo.php?fbid=122156851034167470&set=a.122095338074167470&type=3,Photos,19,15,8,1,7,0,0,,,,,,,,
8/27/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid02pn9tG3GQVrF5eWH2m5tarbAVBhyBc3JEETtsv1j6o9f9mnoPoeoPtK4fbruAdPhrl,Photos,18,14,10,5,4,1,6,,6,,,,,,
8/18/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid0VeUH3xJamSRDwHn2GyUmLUbWDEvpsvbKmKCaw5fFyYHpzjULMFUQ2cZHa2s1J5oal,Photos,18,15,8,1,7,0,0,,,,,,,,
9/4/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid02A8j3aV5xeCrTgHbnWbGuSR2twZ1JF6opAZqM8ZDa7xPoyEAikh4LcdjkP5eoarFbl,Photos,17,14,7,4,2,1,0,,,,,,,,
8/4/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid02ktXTPKz2VC5arYiq597sQ8Hor9bUfo784GUeDbEUCCyjBhMufJQ8LE7eyujWK65dl,Photos,17,16,1,1,0,0,2,1,1,,,,,,
8/24/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid036cwPo5rLsbCuCipAdvkWGYTuNkzrBaAVeVMRazedpZoGGcFwdX5fzgkrrJumnzq6l,Photos,16,16,2,0,2,0,1,,1,,,,,,
9/4/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid0kC1WQ8Ehevq8RYDx3QLgX64G9rPBAofUpNS62KfNXQ1VqVE1qdKAVkY737RMjJ4kl,Photos,15,10,5,1,3,1,0,,,,,,,,
8/28/2024,Style Spectrums,https://www.facebook.com/styledroid/videos/1887753448417631/,Videos,14,10,12,6,4,2,3,,3,70,302.694,7.567,0,0,0
9/25/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid0vUdAfJMVLcekLvrGX3Xdu52RhucodwBCW38swx9pnCcFqAzd1h8Mh5waYEUas6JTl,Photos,13,12,5,3,1,1,1,,1,,,,,,
8/25/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid0dqCz6x8tPWTMQ8GutudoxR7XnyiKmJtq7sbq52JNqZ174h9tz6w9MKR7Xg2c9J35l,Photos,13,13,3,1,2,0,0,,,,,,,,
8/24/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid0j6n3C1tHy5aQ6ddUTX57FC3ZSD1kWdmDoi8LDhzMsPsmYtJY3FYmSRLdTobHsRq1l,Photos,13,12,3,1,2,0,0,,,,,,,,
9/4/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid0HqwaCPz7udn3utAghvWEtHHniwydJcekFrfF1WM5oz6vn17bXVroF6QBgX3Aa64Dl,Photos,12,9,4,3,1,0,0,,,,,,,,
8/31/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid02YGAQJEjNqcq9kJQaAWorVkfsQhgiEwe6LJ8cPS4cvHRfXWzCVKNRRemDHxbWbRUjl,Photos,12,10,5,3,1,1,2,,2,,,,,,
8/17/2024,Style Spectrums,https://www.facebook.com/reel/1215607533088853/,Reels,12,4,0,0,0,0,0,,,59,268.363,7.062,0,0,
9/25/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid0PzJ2HhgjBBZ3fGXH4iFeRMbP3nrCC8wpqMJ4t7cGRteja6ryHTxZGsHfiRCPcHV4l,Photos,11,11,3,1,1,1,0,,,,,,,,
8/24/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid0aMiQq2ehYeAmCfx9PWiG9CkKtFm68r4cc4Jmhg31vw2K1TEKyagKMpxqBXVa9iEal,Photos,11,11,2,0,2,0,0,,,,,,,,
8/24/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid02XPVKExtrEkZ8ECQ62qtWVYMy9pfUmFjtNcyDDwWzmjaQftHACoSbdbeEaAAQdYj6l,Photos,11,11,5,3,2,0,2,,2,,,,,,
8/31/2024,Style Spectrums,https://www.facebook.com/reel/497175156347530/,Reels,10,8,8,5,0,3,0,,,49,171.489,4.899,0,0,
8/28/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid02mCYbYmWqffPQSwmFUEL9M174LMEjxRiDmwsTQ6Ss6ozqGQVf3v85qgis979u2Lgwl,Photos,10,9,2,1,1,0,0,,,,,,,,
