Publish time,Account name,Permalink,Post type,Impressions,Reach,Likes,Shares,Comments,Saves,Plays,Follows
8/4/2024,august style,https://www.instagram.com/reel/C-RhZiUMuvP/,IG reel,17200,13595,3,0,0,0,108,
8/4/2024,august style,https://www.instagram.com/reel/C-RAXZdSLIT/,IG reel,12644,8185,3,0,0,0,177,
7/17/2024,august style,https://www.instagram.com/p/C9hTW-Zxwjh/,IG carousel,137,33,1,7,0,1,,
7/12/2024,august style,https://www.instagram.com/p/C9WP8QpAl3y/,IG carousel,75,64,2,1,0,0,,
8/13/2024,august style,https://www.instagram.com/p/C-m-v2jxJtR/,IG carousel,54,29,6,2,1,0,,
8/30/2024,august style,https://www.instagram.com/reel/C_SPNaguMCT/,IG reel,44,42,2,1,0,0,46,
7/14/2024,august style,https://www.instagram.com/p/C9ac-eJSxOh/,IG image,43,40,1,1,0,0,,
7/14/2024,august style,https://www.instagram.com/p/C9aaYG2xQ-p/,IG image,43,42,1,1,0,0,,
8/13/2024,august style,https://www.instagram.com/p/C-nU7bYuz73/,IG carousel,40,22,0,2,0,0,,
8/27/2024,august style,https://www.instagram.com/p/C_LKliXPgVM/,IG carousel,37,29,1,0,1,0,,
8/24/2024,august style,https://www.instagram.com/p/C_DRqatxIoC/,IG carousel,37,20,2,0,0,0,,
8/26/2024,august style,https://www.instagram.com/p/C_Kal8hORtB/,IG carousel,36,26,1,0,0,0,,
8/26/2024,august style,https://www.instagram.com/p/C_KdcrDuAg6/,IG carousel,34,25,1,0,0,0,,
8/18/2024,august style,https://www.instagram.com/p/C-0eGX4RemW/,IG image,31,28,4,0,0,1,,
8/26/2024,august style,https://www.instagram.com/p/C_KcpJVOd61/,IG carousel,30,22,0,0,0,0,,
8/30/2024,august style,https://www.instagram.com/p/C_TcqzxSI3T/,IG carousel,29,20,2,1,0,0,,
8/26/2024,august style,https://www.instagram.com/p/C_Kb5PIum2C/,IG carousel,28,20,2,0,0,0,,
8/30/2024,august style,https://www.instagram.com/p/C_TdepZSaZS/,IG carousel,27,21,3,1,1,0,,
8/27/2024,august style,https://www.instagram.com/p/C_LLirsORJn/,IG carousel,26,22,7,0,0,0,,
8/27/2024,august style,https://www.instagram.com/p/C_LJOfbS4BQ/,IG carousel,25,20,3,0,0,0,,
8/24/2024,august style,https://www.instagram.com/p/C_DVKdGOadE/,IG carousel,24,23,2,0,0,0,,
7/28/2024,august style,https://www.instagram.com/p/C9-sU_xy29Q/,IG carousel,24,23,1,0,0,0,,
8/27/2024,august style,https://www.instagram.com/p/C_LG_Y-Ny1i/,IG carousel,23,19,2,0,0,0,,
8/24/2024,august style,https://www.instagram.com/p/C_DRG0-xVxx/,IG carousel,23,20,1,0,0,0,,
