Publish time,Account name,Post type,Impressions,Reach,Likes,Shares,Replies,Navigation,Profile visits,Sticker taps
8/25/2024,august style,IG story,7,7,0,0,0,8,,
7/14/2024,august style,IG story,7,7,2,0,0,8,,
8/12/2024,august style,IG story,5,5,1,0,0,7,,2
9/10/2024,august style,IG story,4,4,0,0,0,,,
9/3/2024,august style,IG story,4,4,2,0,0,,3,
8/27/2024,august style,IG story,4,4,2,0,0,,,
8/18/2024,august style,IG story,4,4,0,0,0,,,
8/17/2024,august style,IG story,4,4,0,0,0,,,
8/13/2024,august style,IG story,4,4,0,0,0,,,
8/12/2024,august style,IG story,4,4,0,0,0,,,
8/12/2024,august style,IG story,4,4,1,0,0,,,
8/9/2024,august style,IG story,4,4,0,0,0,,,
8/8/2024,august style,IG story,4,4,0,0,0,,,
8/8/2024,august style,IG story,4,4,1,0,0,,,
8/1/2024,august style,IG story,4,4,0,0,0,,,
7/12/2024,august style,IG story,4,4,1,0,0,,,
7/26/2024,august style,IG story,4,4,1,0,0,,,
7/12/2024,august style,IG story,4,4,1,0,0,,,
9/24/2024,august style,IG story,3,3,0,0,0,,,
9/10/2024,august style,IG story,3,3,0,0,0,,,
9/10/2024,august style,IG story,3,3,0,0,0,,,
8/30/2024,august style,IG story,3,3,0,0,0,,,
8/27/2024,august style,IG story,3,3,1,0,0,,,
8/18/2024,august style,IG story,3,3,0,0,0,,,
8/13/2024,august style,IG story,3,2,0,0,0,,,
8/9/2024,august style,IG story,3,3,0,0,0,,,
8/9/2024,august style,IG story,3,3,0,0,0,,,
8/8/2024,august style,IG story,3,3,0,0,0,,,
8/8/2024,august style,IG story,3,3,0,0,0,,,
8/4/2024,august style,IG story,3,3,0,0,0,,,
8/1/2024,august style,IG story,3,3,0,0,0,,,
9/10/2024,august style,IG story,3,3,0,0,0,,,
9/25/2024,august style,IG story,2,2,0,0,0,,,
8/30/2024,august style,IG story,2,2,0,0,0,,,
8/30/2024,august style,IG story,2,2,0,0,0,,,
8/30/2024,august style,IG story,2,2,0,0,0,,,
8/30/2024,august style,IG story,2,2,0,0,0,,,
8/30/2024,august style,IG story,2,2,0,0,0,,,
8/28/2024,august style,IG story,2,2,0,0,0,,,
